Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GTP Metabolic Process (GO:0046039)	2/16	1.6391054960449903E-4	0.02928819496983243	0	0	129.62337662337663	1129.8219412644194	IMPDH2;RAN
Protein Export From Nucleus (GO:0006611)	2/26	4.4068597769434504E-4	0.02928819496983243	0	0	75.57575757575758	583.9873316414673	CSE1L;RAN
MiRNA-mediated Post-Transcriptional Gene Silencing (GO:0035195)	2/28	5.118017005884158E-4	0.02928819496983243	0	0	69.75524475524476	528.5754809934051	AJUBA;RAN
Bicellular Tight Junction Assembly (GO:0070830)	2/29	5.493106201692561E-4	0.02928819496983243	0	0	67.16835016835017	504.2224932837275	ECT2;CLDN1
Positive Regulation of Protein Import Into Nucleus (GO:0042307)	2/30	5.881163648560729E-4	0.02928819496983243	0	0	64.76623376623377	481.769182294251	ECT2;RAN
Apical Junction Assembly (GO:0043297)	2/38	9.449004432908564E-4	0.03540237390768082	0	0	50.35353535353536	350.6837219229394	ECT2;CLDN1
Tight Junction Assembly (GO:0120192)	2/39	9.952474592520714E-4	0.03540237390768082	0	0	48.99017199017199	338.6455019929658	ECT2;CLDN1
Regulation of Protein Import Into Nucleus (GO:0042306)	2/43	0.0012092868136118387	0.03763905207366848	0	0	44.20177383592018	296.9353391905164	ECT2;RAN
Positive Regulation of Nucleocytoplasmic Transport (GO:0046824)	2/48	0.0015050878441941053	0.03904286660089562	0	0	39.387351778656125	255.97461858496038	ECT2;RAN
Purine Ribonucleotide Biosynthetic Process (GO:0009152)	2/49	0.0015679866104777358	0.03904286660089562	0	0	38.54738878143134	248.93760650075666	IMPDH2;GART
Positive Regulation of Intracellular Protein Transport (GO:0090316)	2/73	0.0034430218247567387	0.054851941287353496	0	0	25.486555697823302	144.54459867933434	ECT2;RAN
Positive Regulation of Protein Localization to Nucleus (GO:1900182)	2/75	0.0036303021660876083	0.054851941287353496	0	0	24.785803237858033	139.25753329434883	ECT2;RAN
